"","mean","sd"
"UBE2C",5.12408587951163,0.374272398330498
"HCLS1",11.6665377202599,0.378988998100362
"KIF13B",6.17026977227113,0.317789462495724
"MPP1",9.86349973478009,0.700071408786052
"ACOT1",4.80631536149506,0.312356821957183
"HLTF",6.08327411110988,0.677643453836179
"ARNT2",3.38793069266017,0.225522397652054
"PYGL",9.18101404724736,0.667887424657502
"STARD3",6.50642677693828,0.273107879471917
"POLD4",8.0936741180544,0.350974525939593
"AMOTL2",3.22024504924421,0.218706003769298
"STAT5A",7.69381770372667,0.265411948654456
"IMPA1",7.5990927330512,0.673895149459298
"ECD",6.21091660985507,0.299500086364859
"SLPI",7.4440093819666,0.906981003182766
"RNASEH2A",5.45956744525929,0.351036082225007
"NAA10",6.97770894088163,0.306893315772702
"ZBTB5",6.85965245247023,0.362438005100387
"MVD",5.14828584506898,0.30639314179006
"PIAS3",5.68044188296782,0.26114328501978
