,patient_1,patient_2,patient_3,patient_4,patient_5,patient_6,patient_7
RPL27,9.149295,9.125082,9.3512,9.068417,9.074395,9.362396,9.469371
IFI35,8.049452,7.869742,8.309142,7.833618,8.008263,9.117502,9.013427
RND2,6.075314,6.296543,6.138645,6.157968,6.13112,6.486893,7.480645
NBR2,8.215777,8.41347,8.012137,8.433931,8.506815,8.565101,8.881046
NBR1,10.04864,9.9969,9.874057,9.88006,9.899206,10.33194,10.32133
ARL4D,7.274569,7.624378,7.066501,7.136342,7.221577,7.739003,8.039102
RNU6-470P,3.162471,3.157401,3.00967,3.104628,3.129602,3.12361,3.501488
RNU6-406P,3.265817,3.203806,3.076849,3.364575,3.239976,3.24698,3.161512
RNU6-971P,3.962331,4.290016,4.028372,4.334523,3.920717,3.983816,3.81374
DHX8,8.502799,8.474807,8.626379,8.348653,8.489779,8.611871,8.646762
C17orf105,3.710825,3.761283,3.586314,3.695117,3.695117,3.706254,3.753726
CD300LG,7.054687,6.901996,6.808651,6.950252,6.891281,6.7502,6.878879
FAM215A,7.659757,7.664222,7.468341,7.497213,7.55314,7.262396,7.292167
NAGS,7.751614,8.319212,7.481251,8.020415,8.191511,8.141355,8.014961
G6PC3,9.530375,9.814205,10.10319,9.592516,9.403353,10.17119,10.49353
C17orf53,5.912987,5.885214,6.521419,6.102719,5.967709,5.914451,6.149098
ASB16,7.11126,7.31314,7.204994,7.160343,7.110511,6.954022,7.285216
TMUB2,7.576391,7.789375,7.966087,7.757056,7.586396,8.135027,8.347425
RNU6-453P,2.945512,2.738485,2.927347,2.70169,2.820548,3.266161,3.324826
RUNDC3A,6.116101,6.111533,6.446702,5.952254,5.978287,5.935592,6.189428
GRN,11.40605,11.54542,11.66001,11.58229,11.24066,11.92928,11.80308
FZD2,6.833171,7.002997,6.950467,6.951307,6.992359,7.112022,7.487718
C17orf104,4.101095,3.795408,3.754265,3.871031,3.968608,3.980931,3.995936
ADAM11,6.385246,6.38448,6.125885,6.36637,6.344154,6.368786,6.80526
HIGD1B,5.705217,5.582322,5.631942,5.857565,5.488633,5.832981,6.101009
CCDC103,6.300326,6.177544,6.144986,6.579011,6.226853,6.422203,6.672637
NMT1,9.288804,9.057314,9.527954,9.311723,9.208916,9.479942,9.531211
ACBD4,7.338322,7.579537,7.004782,7.253427,7.251518,7.798126,7.766869
HEXIM1,8.941939,9.151129,8.994351,9.144613,8.873618,9.217078,9.026409
HEXIM2,8.411781,8.448185,7.996657,8.263753,8.271674,8.712369,8.368474
FMNL1,7.153346,6.878725,7.148073,7.462861,7.062085,7.373978,6.865529
MAP3K14-AS1,6.072282,6.032257,6.053636,5.872442,6.00908,5.792264,5.692338
MGC57346,8.744267,8.620059,9.051934,8.807944,8.823019,9.258598,9.286222
CRHR1-IT1,6.127794,6.011077,5.802001,6.084855,6.143273,6.270539,6.282502
CRHR1,6.272183,6.379006,6.269439,6.179703,6.098976,6.188516,6.409164
SPPL2C,7.699332,7.725935,7.651173,7.635109,7.550166,7.458379,7.548297
MAPT,8.431065,8.802514,7.701665,8.372362,8.201038,8.931959,8.409659
STH,5.563342,5.577398,5.433935,5.367126,5.316696,5.288215,5.223116
NSF,9.507672,9.198341,9.477703,9.30886,9.088271,8.632626,8.781546
WNT9B,6.805315,7.020334,6.620625,6.850796,7.314721,6.333887,7.126754
RNU6ATAC3P,3.895454,3.544844,3.602502,3.409678,3.524653,4.019761,3.862759
GOSR2,9.427899,9.215658,8.581603,9.125169,9.127633,9.350641,8.829845
RN7SL270P,6.248481,6.394662,6.503825,6.40107,6.679042,5.951453,6.206602
MYL4,5.682049,6.052529,5.586015,5.736259,5.891119,5.666668,5.681935
ITGB3,9.340547,9.566197,11.57599,9.899138,8.992663,9.990155,9.036782
EFCAB13,6.86258,6.39108,8.420763,7.072557,7.053751,6.787646,6.304605
KPNB1,9.447121,9.51769,10.13813,9.642319,9.667594,9.462788,9.325274
TBKBP1,7.119682,7.261326,6.984155,7.010562,7.225263,7.325797,7.050028
TBX21,6.594213,6.632913,6.509817,6.414329,6.388078,6.500952,6.280135
LRRC46,5.70415,5.775162,5.971288,5.771853,5.499588,5.997498,5.952064
LOC101927122,4.934989,5.145228,4.841777,4.927722,5.078226,4.814786,4.921864
SP2,7.235545,7.377919,7.417158,7.328375,7.502598,7.500875,7.576779
PNPO,10.19522,10.17226,9.724045,10.26651,10.37099,10.56982,10.24479
CDK5RAP3,7.589508,7.294987,7.566387,7.350466,7.159033,7.737022,7.598335
NFE2L1,10.66173,10.78194,10.4953,10.71518,10.76874,10.99651,11.04179
SNX11,7.494179,7.395346,7.46096,7.466609,7.353196,7.882487,7.869586
HOXB-AS3,6.587897,6.860305,6.638839,6.681286,6.62794,6.465743,6.685709
CALCOCO2,8.994688,9.040394,9.035344,8.888273,8.881474,9.115028,9.193494
ATP5G1,12.13702,12.20283,12.32717,12.08062,12.3166,12.24524,12.29344
UBE2Z,9.860937,9.966576,10.45782,9.947748,9.841393,10.43807,10.39271
IGF2BP1,6.476916,6.591235,5.879506,6.173409,6.568164,6.726579,5.998461
RNU6-826P,4.816756,4.605737,4.725658,4.91634,4.998108,4.795033,5.070542
B4GALNT2,7.0826,6.311295,5.945164,6.702168,7.218706,6.519681,6.740077
ABI3,6.984888,6.861193,6.898737,7.077556,6.780272,7.342637,7.617029
FLJ40194,5.113343,5.225382,5.192357,5.221698,4.995638,4.916514,5.240581
NGFR,7.225258,7.48505,7.414708,7.21023,7.452423,7.484987,7.128189
NXPH3,7.141427,7.421403,6.987383,6.823466,7.012964,7.018755,7.765012
KAT7,8.911567,8.79442,8.758405,8.852556,9.0348,9.137397,9.230357
DLX4,6.99607,7.225316,7.095132,7.104169,6.98603,6.711482,7.213244
ITGA3,8.690754,9.056247,10.41536,9.075109,8.838624,9.11651,8.895573
PDK2,10.37391,10.49543,9.385488,10.28778,10.33422,10.35749,10.37004
SGCA,6.401799,6.688937,6.11562,6.196396,6.302026,6.494473,7.4315
TMEM92,6.898983,7.037938,7.116414,6.988653,6.91858,6.847969,6.81479
XYLT2,7.347977,7.432149,7.843749,7.44533,7.421681,7.949498,8.201958
EME1,5.077815,5.279898,5.548895,5.230999,5.262348,5.106817,5.019549
ACSF2,10.74161,11.26182,9.627511,10.95895,10.84706,11.13296,10.63109
RSAD1,8.06033,8.516394,7.763985,8.200565,8.181459,8.188302,8.4079
MYCBPAP,5.644675,5.609876,5.559419,5.600442,5.549633,5.575907,5.434279
EPN3,7.312119,7.081682,7.231557,7.213759,7.17573,7.209897,7.455144
SPATA20,8.712578,8.736214,9.411874,9.03361,8.659552,9.397206,9.009275
CACNA1G,5.947412,6.114145,6.029324,6.099442,5.836307,5.762744,5.875273
ABCC3,8.13276,8.245254,8.98242,8.144199,8.261282,8.161526,7.690137
LUC7L3,8.323805,8.275729,8.307655,8.195436,8.637064,8.306403,8.287583
WFIKKN2,6.859975,6.8688,6.619903,6.862805,6.617137,6.425874,6.535183
NME1,8.487249,8.445031,9.441687,8.52156,8.258134,8.98521,8.743302
UTP18,7.888059,7.848173,7.93078,7.794019,7.845074,7.835771,7.688825
LOC440446,5.235698,5.282427,5.12571,5.166343,5.155582,5.130587,5.058597
KIF2B,6.171475,6.30638,6.26589,6.529528,6.174442,6.136879,6.456129
STXBP4,8.318635,8.173317,8.058311,8.148664,8.717638,7.959609,7.973375
HLF,8.956271,9.210707,8.820106,8.842041,9.174627,9.197732,9.411234
RNU6-1249P,5.124661,5.263111,5.093823,4.987972,5.330804,5.183458,4.961606
PCTP,10.07032,10.00996,9.338604,9.742568,9.806194,9.777709,9.628414
ANKFN1,4.374273,4.535654,4.17642,4.424235,4.47641,4.102582,4.524095
NOG,5.844188,5.84589,5.621886,5.750739,5.730779,5.640907,5.586058
DGKE,6.201656,6.286855,5.807544,6.30519,6.552453,6.101703,6.2135
RNU6-1158P,5.851294,6.180716,5.943037,6.392557,6.138632,6.532791,6.280572
SCPEP1,9.407429,9.277056,8.700003,9.327962,9.164477,9.441045,9.660767
RNF126P1,6.660595,6.816878,6.688453,6.758501,6.816578,6.850628,6.790999
AKAP1,8.776871,9.073343,8.784461,8.669217,9.159422,9.193516,9.087643
MSI2,9.031713,8.794165,8.855608,8.969601,9.096714,9.166259,9.156072
FLJ11710,5.877372,5.911498,5.913869,6.120895,6.042694,5.563517,5.719772
RN7SL449P,7.698792,7.615654,7.472001,7.524352,7.905699,7.36591,7.300105
RN7SKP94,5.518793,5.83408,5.444741,5.355072,5.323637,5.057362,5.376096
DYNLL2,10.51027,10.61665,10.28282,10.54565,10.46904,10.55301,10.51391
OR4D1,4.782479,4.835676,4.479896,4.634074,4.535196,4.826561,4.635463
MSX2P1,7.416297,7.119508,7.100344,7.330071,7.407649,6.912279,7.068355
OR4D2,3.757363,3.802565,3.672655,3.863103,3.762945,3.668233,3.786005
EPX,5.553977,5.607927,5.334733,5.668384,5.369479,5.265582,5.648263
LPO,5.428874,5.673082,5.466179,5.51412,5.346097,5.390536,5.623601
RAD51C,7.453566,7.175502,7.712396,7.362644,7.41975,7.404242,7.740838
PPM1E,5.063883,5.052977,5.317427,5.531696,5.572547,5.489385,5.096283
RNU6-518P,2.894288,2.810529,2.758499,3.012036,3.167628,3.125098,2.855239
PRR11,5.464485,5.534397,7.348038,5.883831,5.46069,6.009564,5.752612
SMG8,6.232075,5.87158,6.237783,6.015098,5.882521,6.033758,5.950797
GDPD1,5.687946,5.652965,5.684134,5.776864,5.662884,5.915361,5.986743
YPEL2,8.314893,8.524786,8.944627,8.860511,8.621276,8.775083,8.863081
DHX40,7.696267,7.862045,8.060261,7.750795,7.615875,7.579482,7.732937
CLTC,10.86474,10.74777,10.82901,10.74673,10.73745,10.57241,10.3762
CLTC-IT1,4.87923,4.704551,4.728392,4.988348,5.225093,5.269755,4.618968
VMP1,11.07513,11.16478,11.51307,11.16461,11.06043,10.9174,11.42554
MIR21,7.114816,7.359858,8.717072,7.616143,6.803275,7.536983,6.890044
RPS6KB1,8.198535,8.339287,8.366123,8.387994,8.566875,8.356702,8.086512
CA4,8.909433,8.198666,7.300983,8.216853,8.513868,7.919053,7.857897
C17orf64,5.195874,4.87353,4.816494,5.015646,4.774007,4.940655,5.121209
PPM1D,8.165965,8.322853,9.003297,8.33584,8.224706,8.442623,8.295386
BCAS3,8.993394,9.003418,8.820708,8.838467,8.996511,9.357948,8.966395
RN7SL606P,3.669549,3.774132,3.962248,3.718923,3.877431,4.068372,3.734713
RN7SL448P,3.697171,3.946147,4.268203,3.777435,4.352186,3.949613,4.317005
TBX2,7.878966,7.958031,8.20017,7.991073,7.954808,8.334905,8.031831
C17orf82,6.13005,6.190777,5.772921,6.365448,5.852157,6.006173,6.26645
TBX4,6.016605,6.078278,5.659348,5.632525,5.804771,5.824273,6.01223
EFCAB3,3.881813,3.716697,3.836886,3.771038,3.916289,4.173821,4.006017
RNU7-52P,3.502909,3.70596,3.529444,3.701906,4.114871,3.75039,3.591424
METTL2A,7.53151,7.539098,7.514612,7.277813,7.554621,7.460571,7.540852
TLK2,8.376675,8.30481,8.419199,8.511287,8.645309,8.42263,8.400368
MRC2,7.570679,7.865416,7.84051,7.863059,8.092029,8.170832,8.131822
RNU6-446P,3.369792,3.162552,3.469535,3.908877,4.084918,3.296311,3.176486
TANC2,6.844823,6.985388,7.105627,7.077488,7.552162,7.5056,7.118399
ACE,7.860374,8.02995,6.851001,7.394203,7.91592,7.490294,7.806291
KCNH6,7.951817,8.478892,6.540724,7.723155,8.162158,8.242603,7.266178
DCAF7,10.00467,10.03492,10.05894,9.973048,9.936285,10.18817,10.19881
TACO1,8.02708,7.935937,7.53765,8.082864,7.971138,8.494271,8.213687
MAP3K3,7.778503,7.817169,7.911946,7.960545,7.94904,8.152732,8.064249
DDX42,8.396949,8.461832,8.712877,8.63597,8.583527,8.541174,8.38719
PSMC5,8.341166,8.452366,8.319733,8.267837,8.24913,8.716339,8.455256
SNORD104,10.13341,10.33081,10.1742,9.810443,9.26817,9.984617,10.07919
MILR1,5.889467,5.904405,6.909279,6.817999,6.208143,6.618684,6.206918
CEP95,8.29343,8.327592,8.531813,8.503858,8.520101,8.491896,8.502544
RGS9,6.606163,6.433099,6.572522,6.409758,6.511622,7.060354,8.771135
RNA5SP444,4.951214,4.958417,4.674367,5.029614,5.144182,4.930804,5.132351
PRKCA,9.471085,9.25998,8.989496,9.261087,9.546703,9.274472,8.847263
RN7SL735P,5.741729,5.681946,5.69442,5.979023,5.562394,5.205098,5.333176
RNU6-928P,3.545393,3.467628,3.507757,3.674597,3.569827,3.472049,3.684032
CACNG5,5.766622,5.525831,5.39255,5.345156,5.477814,5.465249,5.578103
CACNG4,6.368858,6.311887,6.142335,6.383698,6.380814,6.025382,6.458421
CACNG1,5.725147,5.871136,5.505905,5.731439,5.813808,5.632336,5.747592
RNA5SP447,4.995643,5.452377,4.971776,5.222888,5.207212,5.321411,5.528165
PITPNC1,7.933368,8.188659,7.93451,8.214833,8.457058,8.521422,8.339099
NOL11,8.210113,7.924666,8.231495,8.234972,8.188597,8.086392,7.960283
SNORA38B,10.49328,10.90077,10.54624,11.25287,11.47614,10.63213,10.53229
BPTF,9.177472,9.015878,9.031803,9.024008,9.263236,8.956816,9.009542
LOC440461,7.247104,7.381367,7.366049,7.395038,7.401664,7.113159,7.328124
AMZ2,9.899372,10.10377,9.858775,9.916949,10.09714,10.04704,10.01593
ARSG,7.013944,6.703739,6.958413,6.958413,6.988516,6.802156,6.605369
PRKAR1A,11.0732,11.11511,11.0135,11.14282,11.11694,10.97711,10.92432
MAP2K6,7.401986,6.623003,5.980304,6.886836,6.92827,6.781438,6.823084
KCNJ16,11.30405,11.40053,11.34004,11.29248,11.48503,11.01422,11.13152
KCNJ2,6.462774,6.880599,6.937958,6.87786,6.836813,6.581467,6.554081
LINC01152,3.607199,3.69454,3.718948,3.411449,3.643473,3.758801,3.450697
SOX9,8.103818,8.087285,8.767423,8.297649,8.07118,8.179883,7.80091
SSTR2,7.186441,7.720905,6.805076,7.477332,7.418383,7.688419,7.263693
COG1,9.025392,9.06746,9.089963,9.097874,8.936871,8.978069,9.103777
C17orf80,8.008694,7.629284,7.880785,7.590517,7.706073,7.866522,7.705533
RPL38,10.97474,11.15187,11.34714,11.06939,10.97994,11.02184,11.28318
TTYH2,7.014499,7.098646,6.921419,7.155913,6.988658,7.308358,7.327693
DNAI2,5.854385,6.008651,5.743153,5.93798,5.646021,5.339688,5.663746
KIF19,6.628585,6.75079,6.572454,6.50447,6.695168,6.38183,6.287356
GPR142,6.193183,6.51087,6.125455,6.460436,6.300826,6.075544,6.41666
GPRC5C,8.897229,9.045923,8.712951,8.733651,8.705327,9.077819,8.802376
CD300A,6.351224,6.308288,6.457907,6.715401,6.178583,6.378534,6.10176
C17orf77,4.469495,4.614738,4.494795,4.591836,4.39217,4.403771,4.552864
RAB37,6.036944,5.741846,5.784561,6.225016,5.689409,6.225016,5.748527
SLC9A3R1,11.2842,11.19608,10.82018,11.21249,11.15327,11.48732,11.03616
TMEM104,7.712127,7.538707,7.933842,7.755597,7.736544,7.893788,8.015711
OTOP2,5.801346,6.205306,5.657865,5.789853,5.756276,5.438929,5.626097
OTOP3,5.904079,5.950446,5.818433,5.824198,5.964903,5.581063,5.927922
CDR2L,6.73432,6.839731,7.122112,6.81924,6.819669,7.279541,6.876179
ICT1,9.088417,8.401759,8.963858,8.96931,8.548221,8.836161,8.605258
KCTD2,8.148479,8.180121,8.067885,8.188968,8.100855,8.384395,8.542918
SLC16A5,7.774552,8.263965,8.433996,8.216036,8.397824,7.976065,8.03704
ARMC7,6.651673,6.984709,7.182934,6.568422,6.659118,6.767715,7.180756
NUP85,7.883165,7.841466,8.233701,7.639514,7.771075,8.303561,8.336498
MRPS7,8.128036,8.170948,8.262691,8.322991,7.981164,8.520022,8.026316
KIAA0195,8.901055,9.003261,8.917663,8.821293,8.959541,9.365915,9.408247
TSEN54,7.512217,7.615167,7.826808,7.625366,7.351375,7.95184,7.93832
LLGL2,8.46423,8.341707,8.271274,8.167729,8.322652,8.55783,8.195908
SMIM5,7.767914,7.802782,7.665484,7.885286,7.744279,7.844274,7.307705
SAP30BP,7.513711,7.372823,7.681733,7.356385,7.356814,7.908327,7.707171
ITGB4,6.947312,7.055327,7.980457,7.231776,7.105537,7.512269,7.257116
UNK,7.570901,7.710731,7.733338,7.633207,7.742895,8.193819,8.377272
TEN1,8.151656,8.234496,7.88187,8.049552,7.978032,8.467911,8.363723
TEN1-CDK3,7.944756,7.817495,7.660537,7.732173,7.890459,7.855338,7.919822
CDK3,6.549514,6.511859,6.426973,6.430979,6.428926,6.40936,6.430906
GALR2,6.176493,6.385161,6.250511,6.258563,6.105547,6.121725,6.267385
ZACN,5.83002,5.971442,5.726496,5.726529,5.86115,5.626297,5.896218
UBALD2,8.360464,8.447085,8.291832,8.288757,8.410605,8.382933,8.23073
SPHK1,6.374085,6.318696,6.31668,6.365032,5.802796,5.508022,6.248862
AANAT,5.751285,5.774957,5.848176,5.846178,5.804993,5.693754,6.081273
SNORD1C,8.431825,8.805935,8.539845,8.221352,7.383358,8.64079,8.941935
SNORD1B,3.449337,3.735406,3.578546,3.393131,3.301271,3.199452,3.577497
SNORD1A,3.894707,3.8937,4.107637,3.761003,3.874689,3.464292,3.675276
RNU6-227P,5.956904,5.913609,5.367373,6.54217,6.425126,6.36429,6.113846
METTL23,8.398106,8.482192,8.326621,8.402749,8.303658,8.497724,8.392389
MFSD11,7.773421,7.588242,7.623394,7.688752,7.579752,7.864899,7.783929
MGAT5B,6.701143,6.518885,6.502518,6.556699,6.460091,6.325801,6.442764
SCARNA16,7.169218,7.521158,7.430898,7.117319,7.164915,6.99687,7.058191
SEC14L1,8.845782,9.028341,8.663275,8.938785,9.044042,8.924773,8.856204
SEPT9,7.53374,7.766007,7.990978,7.970874,7.568536,7.984637,8.027467
RNU1-80P,4.85261,4.932784,4.712756,5.00126,5.089722,4.649,5.05243
TNRC6C,7.732475,7.830852,7.391109,7.868497,7.861752,7.98468,8.00512
RNU6-625P,3.719275,3.588644,3.438585,3.696912,3.576942,3.696143,3.567184
TMC8,7.345582,7.172668,7.09967,7.473563,7.058588,7.279302,7.018959
C17orf99,7.568367,7.826507,7.480152,7.716428,7.671414,6.998151,7.355933
SYNGR2,8.665713,8.695888,8.824488,8.753252,8.684772,8.841684,8.916288
AFMID,9.287456,9.881415,8.664613,9.51893,9.463724,9.922031,9.644272
PGS1,7.431575,7.435638,7.580395,7.533194,7.337735,7.736956,7.541844
C1QTNF1,7.552266,8.039535,8.016821,8.000092,7.784014,7.865964,8.051005
ENGASE,7.285351,7.353937,7.116021,7.079503,7.047438,7.558885,7.684021
ENPP7,7.09206,7.300289,6.937095,7.026935,7.108437,6.924144,7.316455
CBX2,6.380427,6.810571,6.618654,6.499735,6.3676,6.13161,6.630946
CCDC40,6.987277,6.936242,7.001468,6.974397,7.057202,6.950648,7.021577
GAA,7.862579,7.86168,7.748691,7.7395,7.935808,8.040423,8.25983
CARD14,6.175812,6.404098,6.217218,6.26773,6.068384,6.061215,6.130854
SLC26A11,7.554191,7.949491,7.769156,7.564947,7.510624,8.126756,7.901511
ENDOV,6.749496,7.1493,6.834083,6.995117,6.847376,6.905999,6.949562
RPTOR,7.273818,7.338658,7.262988,7.210724,7.294476,7.551279,7.469814
CHMP6,7.330706,7.49161,7.417532,7.283783,7.283942,7.974808,8.083457
PP13,5.063685,5.042902,5.26506,4.844046,4.600981,4.909327,4.909903
BAIAP2,8.052428,8.285947,7.525581,7.582466,7.673206,8.054393,8.172806
AATK-AS1,6.852589,6.79843,6.764455,6.913594,6.816517,6.559552,6.84543
BAHCC1,6.710802,6.903305,6.946796,6.794424,6.834389,6.855818,7.204395
FSCN2,6.397733,6.767668,6.420874,6.668879,6.694775,6.290321,6.417434
TSPAN10,6.449669,6.406713,6.303976,6.306248,6.361649,6.339782,7.354544
CCDC137,6.887934,6.898361,7.08642,7.09938,6.993032,7.050468,7.193467
HGS,8.318335,8.3403,8.581909,8.275407,8.121677,8.590119,8.58006
MRPL12,9.018805,9.105136,8.879028,8.714872,8.81673,9.108168,8.804922
SLC25A10,9.703705,10.01439,8.609949,9.470906,9.595285,9.767115,9.130601
ASPSCR1,7.952439,7.880666,7.774914,7.72257,7.857278,8.257759,7.9825
LRRC45,6.712091,6.787749,6.85639,6.781677,6.625415,6.801283,6.894715
RAC3,7.802787,8.095798,8.05652,7.85843,7.89453,8.096261,7.838529
GPS1,9.812679,10.02274,9.686886,9.826764,9.74173,10.19158,10.04672
SLC16A3,7.427437,7.656916,7.69067,7.596327,7.664764,7.373022,7.58202
TEX19,5.474195,5.692435,5.403826,5.552286,5.337442,5.276714,5.338161
UTS2R,7.154608,7.192828,6.963828,7.225285,6.73547,6.647518,6.928341
HEXDC,7.357284,7.556318,7.470252,7.343304,7.462478,7.496651,7.554358
NARF,7.697744,7.830327,7.966618,7.907684,7.813815,8.023132,8.404603
FN3KRP,8.643658,8.553331,9.007039,8.177006,8.610603,8.709815,9.031099
FN3K,9.584944,9.553413,8.518267,9.396114,9.351252,10.14128,9.393758
TBCD,8.395609,8.545067,8.408496,8.451106,8.232132,8.599508,8.721999
METRNL,7.454065,7.854606,7.470294,7.344595,7.32825,7.70433,7.744954
RPH3AL,6.84812,7.084107,7.012697,7.048818,7.038145,7.499787,7.342624
FAM101B,7.590887,7.965847,8.252566,8.208258,8.230708,8.69148,9.845215
GEMIN4,7.042626,7.033077,7.303279,6.805398,6.934806,7.145568,7.266169
GLOD4,7.909494,7.995012,7.994537,7.85004,7.73233,7.933727,7.754656
NXN,7.210652,7.360077,7.735378,7.49586,7.495543,7.817248,9.948516
LOC101060546,6.651673,6.668624,5.919238,7.344257,7.388274,6.466862,6.026334
ABR,7.827033,8.457555,7.900305,8.007079,7.510856,8.491434,9.407124
CRK,9.390993,9.418308,9.756837,9.453249,9.33689,9.378254,9.450672
MYO1C,9.279803,9.509985,10.33498,9.457494,9.437521,9.809301,10.12751
INPP5K,7.920554,8.08185,8.066649,7.910063,7.890198,8.294736,8.255531
PITPNA,9.802443,9.926678,9.902236,9.899141,9.858305,10.13503,10.29368
SLC43A2,10.33406,9.858975,9.011212,9.724919,9.714877,9.93461,10.0097
RN7SL105P,6.244584,6.166614,5.723208,6.079892,6.282746,6.315367,6.093733
SCARF1,7.451883,7.394822,7.469052,7.434446,7.424213,7.410424,7.491395
RILP,7.227932,7.594639,7.171135,7.347052,7.363504,7.617,7.540422
PRPF8,10.81134,10.78927,10.6371,10.77918,10.92059,10.86244,10.89685
TLCD2,7.338011,7.473945,7.494135,7.535923,7.318179,7.220836,7.44698
MIR22HG,7.172896,7.673318,7.285854,7.470562,7.704714,7.862342,7.601781
SMYD4,7.47894,7.418664,7.549637,7.470272,7.434647,7.681419,7.882734
RTN4RL1,6.075987,5.825514,5.807131,6.009198,6.116922,6.457212,6.993385
MIR132,5.463362,5.714768,5.608325,5.585454,5.626305,5.240287,5.66129
MIR212,7.081344,7.122563,6.962401,7.048266,7.048472,6.966277,7.152059
SMG6,7.815266,7.651967,7.590218,7.75643,7.994033,7.981281,7.954626
TSR1,7.552248,7.32187,7.949985,7.41329,7.311639,7.375373,7.5427
MNT,7.502504,7.640215,7.739205,7.572655,7.41803,7.612788,7.617205
RN7SL33P,6.568223,6.664981,6.310085,6.278622,6.659166,6.132243,6.026705
CLUH,9.107567,9.214695,9.10245,8.971197,8.968419,9.319753,8.907773
OR1D2,4.746318,4.919079,4.496419,4.751539,4.565871,4.288446,4.629357
OR1G1,4.57095,4.437696,4.421688,4.77441,4.327177,4.395221,4.600914
OR1P1,6.270226,6.304828,6.009378,6.250072,6.330458,5.77226,5.995467
OR3A1,4.969304,5.012249,5.257705,5.176662,5.037145,5.114259,5.225012
OR1E1,4.641393,4.654872,4.679382,4.732907,4.765799,4.805889,4.61602
OR1E2,3.267864,3.263241,3.432117,3.58617,3.202961,3.42546,3.457623
SPATA22,3.678135,3.93815,3.80625,3.967758,3.797226,3.768805,4.154345
TRPV3,5.409486,5.508664,5.404243,5.483345,5.42445,5.519412,5.475302
TRPV1,7.575569,7.798181,7.398254,7.560538,7.699945,7.978595,7.533179
SHPK,8.723666,8.575063,8.09776,8.602583,8.724074,9.057012,8.471241
TAX1BP3,8.909218,9.130203,10.39723,9.490094,9.073949,10.14451,10.3882
P2RX5,6.394892,6.139533,6.209423,6.630943,5.958515,5.977774,6.371692
ITGAE,6.178182,6.112979,6.054416,6.304063,6.077678,6.425571,6.253589
C17orf85,8.083381,7.848974,8.195089,8.075249,8.347214,8.227434,8.383559
CAMKK1,6.039852,5.98743,5.996617,5.968351,5.910351,6.125964,6.339661
P2RX1,6.047357,6.428041,6.040902,6.287794,6.243057,6.295466,6.314383
ATP2A3,7.336158,7.055507,6.973496,7.479878,7.230819,7.321341,8.394897
ZZEF1,8.155249,8.286615,8.110231,8.111484,8.185546,8.365082,8.026543
ANKFY1,8.726446,8.802648,8.895181,8.732733,8.681753,9.002447,8.92067
UBE2G1,10.87313,10.96856,11.02153,10.74257,10.8741,10.54919,10.74952
MYBBP1A,7.329615,7.316495,7.626208,7.393588,7.465527,7.697626,7.582137
GGT6,9.129703,9.265992,7.984264,9.168872,9.542686,9.883271,9.721287
RNU6-955P,3.483403,3.760527,3.623605,3.587715,3.592622,3.72427,3.658248
ALOX15,5.507503,5.531469,5.218495,5.400014,5.182839,5.278466,5.323965
PELP1,7.41742,7.291095,7.615364,7.411448,7.282199,7.774065,7.909402
CXCL16,8.344069,8.31264,9.609948,8.644592,7.966995,8.683579,8.384868
VMO1,5.256272,5.645637,5.318891,5.680325,5.492773,5.548766,5.810573
ATP6V0CP1,4.781389,4.972522,4.894597,4.935296,4.970417,4.872326,4.642118
CHRNE,5.694052,5.973232,6.083098,6.0029,5.773574,6.15288,6.106614
SLC25A11,10.80615,10.94505,10.61002,10.73546,10.73683,11.05148,11.00494
PFN1,10.85825,10.94337,11.54379,11.13531,10.73395,11.03112,11.32388
SPAG7,7.851761,7.873869,8.205047,7.88586,7.823587,8.14146,8.172179
CAMTA2,7.89781,7.904501,7.95522,7.895201,7.867411,8.237022,8.315827
INCA1,6.199251,6.345451,6.263847,6.244803,6.113739,6.367912,6.845088
SLC52A1,6.511579,6.518326,6.34869,6.481813,6.471991,6.31467,6.307693
ZNF232,5.509747,5.405082,5.364397,5.973764,5.430335,5.793265,6.273042
ZNF594,6.82399,6.558595,6.53489,6.655506,6.961213,6.295826,6.787654
SCIMP,7.701191,6.860187,7.792786,8.213687,6.813775,7.696536,7.344893
NUP88,9.184087,9.237963,9.22917,9.343104,9.241682,9.347319,9.252326
C1QBP,10.04299,10.00837,10.30287,9.890521,9.840836,10.12479,9.905613
DHX33,7.487569,7.61571,8.08372,7.748377,7.762631,7.609781,7.742383
DERL2,9.457837,9.284907,9.472847,9.251672,9.459338,9.42243,9.244944
