,patient_1,patient_2,patient_3,patient_4,patient_5,patient_6,patient_7
SUZ12P1,8.641118,8.544775,8.679024,8.763291,8.700993,8.864552,8.79309
ATAD5,5.36678,5.113867,6.334676,5.619242,5.359022,5.006436,5.278142
ADAP2,8.270529,8.219674,8.825876,8.570048,8.259164,9.010304,8.317157
RN7SL138P,4.599868,4.544311,5.230347,4.954619,4.609696,5.010809,4.606668
RNF135,8.940745,8.926227,8.700756,8.922281,8.831672,9.060652,8.531314
NF1,10.15684,10.10585,10.10242,10.03405,10.17074,9.758322,9.685011
RAB11FIP4,7.958433,8.104471,7.692109,7.971758,8.092089,8.022948,7.714974
RN7SL79P,6.000287,6.03387,5.949682,6.138353,5.967128,5.529618,5.499126
RN7SL45P,6.3109,6.485138,6.004386,6.107492,6.134954,5.602146,5.826327
MIR193A,6.40643,6.78033,6.474447,6.519935,6.706834,5.856672,6.562871
RNU6-1134P,3.458351,3.51638,3.47379,3.390362,3.418601,3.396511,3.758513
SUZ12,9.506357,9.556083,9.90449,9.407126,9.447619,9.591661,9.418756
LRRC37B,8.208252,7.701272,8.123233,8.056775,8.073832,8.175113,8.012304
RHOT1,9.175983,9.200217,9.230566,9.164719,9.335694,9.026108,8.870256
RHBDL3,6.004875,5.969106,5.684936,5.954111,5.664165,5.394368,5.782302
ZNF207,9.931746,9.88296,10.1066,10.03475,10.17667,9.86893,9.878208
PSMD11,10.11341,9.836322,9.948754,10.05377,10.05425,10.03614,10.06693
CDK5R1,6.579919,6.67659,6.795042,6.576282,6.49415,6.712545,6.639473
TMEM98,8.600872,8.817493,8.518356,8.519313,8.194138,8.725512,8.964452
SPACA3,5.624096,5.894272,5.643144,5.745816,5.711421,5.738079,5.579905
CCL2,9.740036,9.477428,11.32677,10.58425,9.88112,10.53867,9.634945
CCL7,5.011701,4.866447,4.959515,5.097076,5.035339,5.021121,5.00834
CCL11,7.403582,7.016393,8.382473,7.280575,7.041011,7.39373,7.388397
CCL8,5.040086,4.792778,6.359761,5.100113,4.503704,5.258908,4.581773
CCL13,5.076314,5.375559,5.285512,5.509274,4.931901,5.599579,5.166601
TMEM132E,6.975845,7.426982,7.039712,6.882189,6.697751,7.75464,7.45172
ZNF830,7.454761,7.370695,7.526378,7.319236,7.270358,7.368993,7.214926
LIG3,8.155363,7.896834,8.053139,7.939461,8.143201,8.259004,8.19786
RNU6-840P,2.687893,2.718239,2.612211,2.780753,2.644425,3.152952,2.835967
FNDC8,5.066254,4.924008,4.79112,4.993808,5.190086,4.706383,5.350274
UNC45B,5.252195,5.541233,5.167301,5.050318,5.442418,5.037195,5.461966
SLFN5,8.994093,8.33269,9.446784,8.941246,8.842758,9.205422,9.33722
SNORD7,5.014093,4.677969,4.671128,4.91121,5.130571,4.692322,4.745201
AP2B1,10.61631,10.65506,11.06261,10.5416,10.60397,10.48355,10.34446
RASL10B,7.135096,7.11142,7.15692,7.128059,6.970872,6.980293,7.24906
C17orf50,7.618267,7.783884,7.544019,7.867553,7.740423,7.394822,7.586087
TAF15,9.216172,9.126324,9.440712,9.288475,9.35742,9.254908,9.098576
RN7SKP274,6.03605,6.360255,5.963111,6.219675,6.356981,5.631717,5.683751
CCL18,6.856548,8.033996,6.627335,7.752832,6.101033,8.397508,6.390989
CCL4,4.834595,4.020639,4.410094,4.422874,3.752149,4.436319,3.286472
ZNHIT3,7.599564,7.463208,7.594865,7.468208,7.441168,7.650387,7.646348
PIGW,6.673978,7.083911,7.514126,7.062496,6.766835,6.871388,6.94477
GGNBP2,8.837681,8.686815,8.85781,8.73613,8.640845,8.70993,8.68319
DHRS11,8.534195,8.795283,8.692386,8.308537,8.698114,9.087425,9.175192
MRM1,7.003866,7.024717,7.195175,7.055721,7.33582,7.656163,7.280239
LHX1,7.526167,7.755724,7.508767,7.406146,7.340624,7.672113,7.50983
AATF,9.057898,9.157142,9.369748,9.085895,8.636624,9.115975,9.036944
